"COD_GERENCIA_CATASTRO","COD_CCAA_INE","COD_DELEGACION_CATASTRO","COD_PROVINC_INE","COD_MUNICIPIO_CATASTRO","COD_MUNICIPIO_INE","COD_MUNICIPIO_IGN","ARH","TIPO_EXPLOTACION","AC","CC","VB_SUBPARCE","TIPO_FINCA","PCATASTRAL1","PCATASTRAL2","CARGO","SUBPARCELA","SUPERFICIE","SUP_SUBPARCELA","SUP_CONSTRUIDA","V_SUELO","VALOR_CALCULADO","VALOR_CALCULADO_SUBPARCELA","PORC_VCALC_SUBPARC","CLASIF_VCALC_SUBPARC","V_CONSTRUCCION","V_CATASTRAL","V_CATASTRAL_SUBPARCELA","V_CATASTRAL_SUBPAR_HECTAREA","PORC_SUPERF","CLASIF_SUPERF_SUBPARC","N_SUPARCELAS","RN","ID_MUESTRA","FECHA_EFECTO","MES_EFECTO","ANIO_EFECTO","ANIO_IAMIR","ID_ESTADO","ID_MOTIVO_ESTADO","VALOR_TRANS","VALOR_TRANS_SUBPARCELA","ANIO_ASIGNA_ESTADO","COORX","COORY","NINTERNO","IP","TIPO","AATIPO","CIRCULARIDAD","CONVEXIDAD","ELONGACION","PLUVIOMETRIA","TIPO_VERANO","ETP","VER","TMAX","TM","TMIN","CLASIF","INV","ARIDEZ","TUSEC","TUREG","REGIHU","REGITE","PLU","PSECO","PFRIO","PCAL","FECHA_CALC","ID_SUBPARCELA","ALTURA_MEDIA","PENDIENTE_MEDIA","POTENCIALAGROLOGICO","ORIENTACION_MEDIA","1_DISTANCIA","1_DELEG","1_MUNIC","1_MVRVALOR","1_ZON_VAL","2_DISTANCIA","2_DELEG","2_MUNIC","2_MVRVALOR","2_ZON_VAL","3_DISTANCIA","3_DELEG","3_MUNIC","3_MVRVALOR","3_ZON_VAL","4_DISTANCIA","4_DELEG","4_MUNIC","4_MVRVALOR","4_ZON_VAL","5_DISTANCIA","5_DELEG","5_MUNIC","5_MVRVALOR","5_ZON_VAL","6_DISTANCIA","6_DELEG","6_MUNIC","6_MVRVALOR","6_ZON_VAL","7_DISTANCIA","7_DELEG","7_MUNIC","7_MVRVALOR","7_ZON_VAL","8_DISTANCIA","8_DELEG","8_MUNIC","8_MVRVALOR","8_ZON_VAL","9_DISTANCIA","9_DELEG","9_MUNIC","9_MVRVALOR","9_ZON_VAL"
8,7,45,45,59,59,"45059",827,"AGR","TAS","C-",4320,"RUS","45059A0","4400177",0,"0",7949,7949,,0,3433.97,3433.97,100,1,0,442.62,442.62,556.82,100,1,1,1,497309,"13/02/2015","02","2015",2016,2,,3006,3006,2015,-395774.76394,4834959.85447,183951109,2,13.222266,1989,0.66,1,0.36,388.96,"BSk",750,4,34,14,5,67,7,3,10,40,4,18,500,5,6,2,05/08/2015,150007681,618.22,1.26,2,59.73,6050.11,45,72,210,"U44",6101.03,45,72,210,"U43",6104.17,45,72,210,"U43",9350.85,45,79,210,"PR48",9363.33,45,79,210,"U50",9433.41,45,79,210,"R47",10035.51,45,167,210,"R46",10319.58,45,167,210,"R45",10367.23,45,167,210,"R45"
8,7,45,45,59,59,"45059",827,"AGR","TAS","C-",4320,"RUS","45059A0","2100041",0,"a",19513,12370,,,9676.2,5343.84,55.23,5,,1100.48,688.86,556.88,63.39,5,3,1,579069,"20/10/2014","10","2014",2016,3,69,19057.26,10524.68,2016,-386303.53714,4843556.25435,183951127,2,13.222266,1989,0.386,0.897,0.442,443.49,"Csa",750,4,34,14,5,67,7,3,10,40,4,18,500,4,6,2,10/10/2015,150029562,703.61,1.22,2,234.17,3670,45,59,210,"PR49",3802.89,45,59,210,"R49",3807.2,45,59,210,"R48",4082.99,45,72,210,"U45",4295.64,45,72,210,"PU45",5828.71,45,72,210,"U41",6957.68,45,26,100,"U41",7135.56,45,26,100,"U39",7182.83,45,26,100,"U42"
8,7,45,45,59,59,"45059",827,"AGR","TAS","C-",4320,"RUS","45059A0","1600072",0,"a",7151,5557,,,2869.11,2400.62,83.67,4,,363.15,309.39,556.76,77.71,5,3,1,549397,"07/05/2014","05","2014",2016,1,,3600,3012.16,2016,-379927.71912,4845100.4306,183953680,2,13.222266,1989,0.349,1,0.716,449.06,"Csa",750,4,34,14,5,67,8,3,10,40,4,18,500,4,6,2,05/10/2015,150019267,719.83,2.3,2,142.08,5706.25,45,59,210,"PR49",5819.02,45,59,210,"R49",5845.64,45,59,210,"PR49",7137.84,45,72,210,"U45",7279.58,45,72,210,"PU45",8350.47,45,199,210,"R49",8391.49,45,199,210,"R48",8446.04,45,199,210,"R50",8556.01,45,72,210,"U41"
8,7,45,45,59,59,"45059",827,"AGR","TAS","C-",4320,"RUS","45059A0","4400235",0,"0",46376,46376,,,20034.43,20034.43,100,1,,1526.19,1526.19,329.09,100,1,1,1,817812,"13/03/2015","03","2015",2016,1,,13913,13913,2016,-397996.99509,4834381.29789,183955764,3,7.813157,1989,0.316,0.933,0.741,,"",750,4,34,14,,67,7,3,10,40,4,18,500,5,6,2,01/04/2016,150007935,651.04,3.46,2,37.43,7539.7,45,72,210,"U44",7599,45,72,210,"U43",7638.68,45,72,210,"U43",8766.62,45,194,100,"U48",8866.57,45,194,100,"U46",8907.74,45,79,210,"U50",8967.61,45,194,100,"U45",8982.55,45,79,210,"PR48",9024.6,45,79,210,"R47"
8,7,45,45,59,59,"45059",827,"AGR","TAS","C-",4320,"RUS","45059A0","4400249",0,"0",9936,9936,,0,4292.35,4292.35,100,1,0,553.29,553.29,556.85,100,1,1,1,497311,"13/02/2015","02","2015",2016,2,,4150,4150,2015,-395852.47169,4834931.66698,183956162,2,13.222266,1989,0.7,1,0.27,388.96,"BSk",750,4,34,14,5,67,7,3,10,40,4,18,500,5,6,2,05/08/2015,150008220,619.23,1.23,2,56.57,6095.44,45,72,210,"U44",6149.88,45,72,210,"U43",6149.99,45,72,210,"U43",9344.55,45,79,210,"PR48",9353.69,45,79,210,"U50",9427.36,45,79,210,"R47",10038.06,45,167,210,"R46",10322.42,45,167,210,"R45",10369.48,45,167,210,"R45"
8,7,45,45,59,59,"45059",827,"AGR","TAS","C-",4320,"RUS","45059A0","4100034",0,"0",12054,12054,,,5207.33,5207.33,100,1,,396.57,396.57,328.99,100,1,1,1,497308,"13/02/2015","02","2015",2016,3,68,5636.4,5636.4,2016,-394784.57721,4836202.83326,183957186,3,7.813157,1989,0.57,0.91,0.23,391.8,"BSk",750,4,34,14,5,67,7,3,10,40,4,18,500,5,6,2,05/08/2015,150003911,600.49,2.52,2,241.86,5396.47,45,72,210,"U43",5479.88,45,72,210,"R44",5495.3,45,72,210,"U44",8960.71,45,79,210,"PR48",9037.38,45,79,210,"R47",9047.63,45,79,210,"U50",10284.88,45,26,100,"U42",10297.38,45,26,100,"U41",10361.6,45,26,100,"U39"
8,7,45,45,59,59,"45059",827,"AGR","TAS","C-",4320,"RUS","45059A0","4400148",0,"0",7313,7313,,,3159.22,3159.22,100,1,,240.55,240.55,328.93,100,1,1,1,956020,"26/09/2013","09","2013",2016,2,,2194,2194,2015,-395606.50421,4835251.1731,183957386,3,7.813157,1989,0.51,0.973,0.467,390.51,"BSk",750,4,34,14,5,67,7,3,10,40,4,18,500,5,6,2,10/11/2015,150002267,616.75,1.51,2,123.73,5919.99,45,72,210,"U44",5939.03,45,72,210,"U43",5970.91,45,72,210,"U43",9233.13,45,79,210,"PR48",9262.51,45,79,210,"U50",9314.41,45,79,210,"R47",10192.34,45,167,210,"R46",10472.56,45,167,210,"R45",10527.6,45,167,210,"R45"
8,7,45,45,59,59,"45059",827,"AGR","TAS","C-",4320,"RUS","45059A0","3300384",0,"0",6383,6383,,,2757.46,2757.46,100,1,,209.93,209.93,328.89,100,1,1,1,817836,"24/07/2015","07","2015",2016,3,68,3500,3500,2016,-392440.77593,4841769.86564,183957840,3,7.813157,1989,0.646,0.999,0.333,,"",750,5,34,14,,65,7,3,10,40,4,13,500,4,6,2,01/04/2016,150004397,705.39,2.78,2,202.72,5035.29,45,72,210,"U45",5129.33,45,72,210,"PU45",5824.06,45,59,210,"R49",5968.69,45,59,210,"R48",6059.04,45,26,100,"U42",6075.36,45,26,100,"U41",6111.22,45,72,210,"R44",6120.73,45,26,100,"U39",6156.2,45,59,210,"R48"
8,7,45,45,59,59,"45059",827,"AGR","TAS","C-",4320,"RUS","45059A0","3300372",0,"0",7005,7005,,,3026.16,3026.16,100,1,,230.45,230.45,328.98,100,1,1,1,817835,"24/07/2015","07","2015",2016,3,68,3500,3500,2016,-392362.5645,4841756.91583,183957842,3,7.813157,1989,0.582,0.927,0.305,,"",750,5,34,14,,65,7,3,10,40,4,13,500,4,6,2,01/04/2016,150003318,706.08,2.36,2,183.88,4978.59,45,72,210,"U45",5076.15,45,72,210,"PU45",5812.64,45,59,210,"R49",5957.93,45,59,210,"R48",6072.94,45,26,100,"U42",6074.26,45,72,210,"R44",6089.35,45,26,100,"U41",6134.23,45,26,100,"U39",6143.48,45,59,210,"R48"
8,7,45,45,59,59,"45059",827,"AGR","TAS","C-",4320,"RUS","45059A0","5000029",0,"0",7352,7352,,,3176.06,3176.06,100,1,,409.34,409.34,556.77,100,1,1,1,956613,"02/09/2013","09","2013",2016,3,68,8500,8500,2016,-398352.68374,4838525.49786,183957934,2,13.222266,1989,0.722,0.996,0.245,389.26,"BSk",850,5,34,14,5,65,7,3,10,40,4,13,500,5,6,2,11/11/2015,150001350,570.42,2.39,2,264.67,6028.23,45,79,210,"U50",6038.96,45,79,210,"PR48",6112.38,45,79,210,"R47",8478.11,45,72,210,"U43",8493.7,45,72,210,"PU45",8532.6,45,72,210,"U45",9186.29,45,26,100,"U41",9189.84,45,26,100,"U42",9283.68,45,26,100,"U39"
